,video_id,video_title,upload_date,view_count,like_count,comment_count
92,AIzjiGlwr5I,Search Skill OR Memorization Skill? 😕 #dataanalysis #datascience #data #shorts,2023-08-28,11578,1014,25
93,tH7lTK_CeJU,Power BI DAX Tip | Using Variables 💡 #dataanalysis #datascience #data #shorts,2023-08-27,3117,209,0
94,tI7EZNjRHdE,Power BI DAX Tip | Graceful Division ➗💡  #dataanalysis #investing #data #shorts,2023-08-26,3568,223,7
95,fXzSgmyDjWg,Data Informed vs. Data Driven Decision Making! 🤔📊  #dataanalysis #datascience  #data #shorts,2023-08-25,4582,301,9
96,7r5rqK7GHEY,Don&#39;t ignore this if you are building a dashboard! 📊✏  #dataanalytics #datascience #data #shorts,2023-08-24,19864,1317,10
97,xTvdsMRiF6c,India is now on the moon🌝#codebasics #chandrayaan3 #chandrayaan3mission #chandrayaan #data #shorts,2023-08-24,4571,302,13
98,jewh3qEGd0A,He became a data analyst at age 51! 👨‍⚕️➡📊😲 #dataanalytics #data #datascience #shorts,2023-08-23,9821,545,12
99,67_aMPDk2zw,LLM Explained |  What is LLM,2023-08-22,35360,1390,82
100,p5lPAxM0VRY,Top 5 BI Tools in Market! 📊  #dataanalytics #data #datascience #shorts,2023-08-22,9302,419,10
101,7lfc9hVQ1VM,Confused : Python or SQL? #dataanalytics #data #datascience #shorts,2023-08-20,15204,1046,14
102,MFaJazhXrcc,5 Dashboarding Tips💡 #shorts #dataanalytics #data #datascience,2023-08-19,4134,331,1
103,nAmC7SoVLd8,LangChain Crash Course For Beginners | LangChain Tutorial,2023-06-30,129429,3957,185
104,2e5pQqBvGco,End-to-End NLP Project | Build a Chatbot in Dialogflow | NLP Tutorial | S3 E2,2023-06-23,132904,2818,218
105,SHUWIeoiEH4,Resume Challenge #5 Winner Announcement: Provide Insights to Telangana Government Tourism Department,2023-06-20,4890,92,6
106,ZeoqOybAzdc,Introduction to Chatbots | NLP Tutorial | S3 E1,2023-06-16,18198,527,26
107,HlBu3fsmZX0,How He Grew His Business 3X Using Data Analytics | Mechanical Engineer to Data Analyst,2023-06-01,11535,298,13
108,jhHnqag43WM,Know this before you start learning any technology 🚀,2023-05-27,13433,768,3
109,Gw6hVMzna7g,Hacks for Moms With a Career Break to Become a Data Analyst [Unfiltered Process],2023-05-25,15757,526,54
110,T8ryqTyVye4,Will AI Replace Data Analyst Jobs?,2023-05-20,72706,1893,175
111,f-Zf5eWSW3k,"ChatGPT vs BARD, Which is better?",2023-05-17,14433,344,38
112,8n-zu2sDt1M,Watch this if you have a CAREER GAP,2023-05-16,19473,1485,42
113,CQZdrA-hqCo,5 Ways to Learn Data Analytics By Solving Real-Life Problems,2023-05-13,17988,523,28
114,__4BIPqNDbk,Static Resumes Are Dying...,2023-05-10,23365,1265,14
115,vBmYnaMz0kk,Codebasics Data Analyst Bootcamp is Now LIVE 🔥,2023-04-27,29687,695,307
116,wKqt7ThgR1g,Is Python Really Needed For a Data Analyst Job?,2023-04-22,36259,1332,61
117,y9p6tWgXa20,Resume Challenge #4 Winner Announcement: Provide Insights to Management in Consumer Goods Domain,2023-03-28,3502,95,4
118,in3IB45YEgY,B.Com to Data Analytics Transition,2023-03-18,14552,478,42
119,IJCcHDLv7ss,GPT-4 Demo | GPT3 vs GPT4,2023-03-15,129268,1510,146
120,hQvCOBv_-LE,What is STAR schema | Star vs Snowflake Schema | Fact vs Dimension Table,2023-02-16,63384,3094,98
121,LYSaxDQbf2k,How Omdena helped her get a Data Scientist job!,2023-02-11,9223,370,30
122,vL4yC-wyKu8,Team Codebasics UNITED 🔥🎇,2023-02-08,22408,1337,25
123,nkvInnpuic8,Can I learn data science if I am more than 30?,2023-02-07,12703,732,102
124,tT4V7zguCnc,How Data Analysts Build Dashboard in Real Time? | Revenue Insights | Hospitality Domain,2023-02-04,214033,5959,190
125,-doYCOojY4w,These folks were HIRED as Data Analysts without an interview!,2023-01-28,30929,888,36
126,iaeKdiBu5Hs,Do people really get a Job via Job guarantee programs?,2023-01-24,25898,553,154
127,MaaphT465_I,5 Projects for a Data Analyst Job | All Materials Included,2023-01-21,121080,4781,104
128,sUTr-qs0u20,Resume Challenge #3 Winner Announcement: Insights to the Executive Team in the Telecom Domain,2023-01-13,3095,82,1
129,eaFaD_IBYW4,Data Science Roadmap 2023 | Learn Data Science Skills in 6 Months,2023-01-12,482776,22598,822
130,L7a1QBJdbzg,B Com to Software Developer Transition,2023-01-10,7995,323,54
131,dzTwpJ1J2rs,"Codebasics Live Data Quiz | 6 Jan, 7.30 pm IST, 2023",2023-01-06,3475,142,15
132,yboN-5jHVAY,SQL Job Options | Career Paths After Learning SQL,2023-01-05,26980,747,47
133,b_n-hhtMbXA,Data Analyst Roadmap 2023 | Learn data analytics skills in 3 months,2023-01-02,331788,11646,359
134,6erwYj4T86c,5 Unique Python Project Ideas for Your Resume | Python Projects for Beginners to Advanced,2022-12-28,82650,2770,54
135,0fEipHY0XEQ,Which jobs are secure against ChatGPT breakthrough? 🙄,2022-12-23,23573,870,100
136,KOmGPNS-YM8,Top 8 Python Libraries You Must Know In 2023 For Data Science | Python Modules for Data Science,2022-12-22,43387,1453,45
137,4QkYy1wANXA,"End To End Cricket Data Analytics Project Using Web Scraping, Python, Pandas and Power BI",2022-12-16,366596,9037,368
138,fHw188SBb9k,7 Job Options After Learning Python | Python Career Opportunities,2022-12-09,69077,2037,71
139,q50JqHQLOQU,Codebasics Reached 700K Subscribers Mark. Thank You All 🙏,2022-12-07,8803,470,17
140,qMShq1Wi0Uc,How important are Excel skills for a Data Career?,2022-11-30,22660,1066,16
141,kptvgGQ2nSY,5 Ways SQL is Used In The Data Industry,2022-11-26,14597,429,15
142,dZbaRYSy9Zo,What Can I Do To Survive Recession? | Impact Of Recession On Data Jobs,2022-11-22,14072,514,27
143,HGtWxyUQ1xg,Future belongs to those...,2022-11-22,38034,2606,23
